
STT	Nội dung 1: Khái quát về chủ nghĩa Mác - Lênin	Trả lời đúng
1	Trong trường nghề, môn chính trị có mấy chức năng cơ bản	
A	 Chức năng giáo dục, nhận thức	1
B	Chức năng giáo dục, nhận thức, thẫm mỹ	
C	Chức năng giáo dục, nhận thức, thẫm mỹ, văn hóa	
D	Chức năng giáo dục, nhận thức, thẫm mỹ, văn hóa, nghệ thuật	
		
		
2	Chủ nghĩa Mác – Lênin ra đời vào thời gian nào?	
A	Vào những năm 40 của thế kỷ XVII	
B	Vào những năm 40 của thế kỷ XVIII	
C	Vào những năm 40 của thế kỷ XIX	1
D	Vào những năm 40 của thế kỷ XX	
		
		
3	Chủ nghĩa Mác – Lênin do ai sáng lập và phát triển	
A	C.Mác và V.I.Lênin	
B	C.Mác, Ph.Ănghen và Lênin	1
C	C.Mác và Ph.Ănghen	
D	Ph.Ănghen và Lênin	
		
		
4	Chủ nghĩa Mác ra đời, đã kế thừa những tinh hoa di sản lý luận của nhân loại, trong đó trực tiếp kế thừa?	
A	Triết học cổ điển Đức, Kinh tế chính trị cổ điển Anh.	
B	Triết học cổ điển Đức, Chủ nghĩa xã hội khoa học.	
C	Triết học cổ điển Đức, Kinh tế chính trị cổ điển Anh, Chủ nghĩa xã hội khoa học	1
D	Kinh tế chính trị cổ điển Anh, Chủ nghĩa xã hội khoa học, chủ nghĩa duy tâm.	
		
		
5	C. Mác và Ph. Ănghn đã trực tiếp kế thừa triết học cổ điển Đức của đại biểu nào?	
A	Hêghn và Phơbách.	1
B	Adamsmít và Đavít Ricacdo	
C	Đacuyn và Lômônô xốp	
D	Xanh xi mông, Phuriê, Ooen	
		
		
6	C.Mác và Ph.Ănghen đã trực tiếp kế thừa Kinh tế chính trị cổ điển Anh của các đại biểu nào?	
A	Hêghn và Phơbách.	
B	Adamsmít và Đavít Ricacdo	1
C	Đacuyn và Lômônô xốp	
D	Xanh xi mông, Phuriê, Ooen	
		
		
7	C.Mác và Ph.Ănghen đã trực tiếp kế thừa Chủ nghĩa xã hội không tưởng Pháp của các đại biểu nào?	
A	Hêghn và Phơbách.	
B	Adamsmít và Đavít Ricacdo	
C	Đacuyn và Lômônô xốp	
D	Xanh xi mông, Phuriê, Ooen	1
		
		
8	Những thành tựu khoa học tự nhiên là cơ sở khoa học trực tiếp hình thành chủ nghĩa Mác là:	
A	Định luật Bcnuly, học thuyết giá thặng dư của C.Mác, Thuyết chính danh của Khổng Tử	
B	Học thuyết tiến hóa các loài của Đac-uyn, Định luật bảo toàn và chuyển hóa năng lượng của Lômônô xốp, Thuyết tiến hóa các loài của Svac, Slaydl.	1
C	Thuyết di truyền của Mndl, Định luật uclid Thuyết tiến hóa các loài của Svac, Slaydl.	
D	Bộ Tư bản của Ănghn, Định luật bảo toàn và chuyển hóa năng lượng của Lômônô xốp, Định luật Bcnuly	
		
		
9	Ai là người đã bảo vệ, vận dụng sáng tạo và phát triển lý luận của Mác và Ănghn?	
A	V.I.Lênin	1
B	Hồ Chí Minh	
C	Ma khơ	
D	Đê môcrit	
		
10	Sự kiện xã hội nào lần đầu tiên đã chứng minh tính hiện thực của chủ nghĩa Mác - Lênin trong lịch sử?	
A	Công xã Pari	
B	Cách mạng Tháng Mười Nga 1917	1
C	Cách mạng Tháng Tám năm 1945 ở Việt Nam		
D	Chiến tranh thế giới lần thứ II	
		
		
11	Kiểu nhà nước nào được V.I.Lênin gọi là nhà nước “nửa nhà nước” không còn nguyên nghĩa nhà nước.	
A	Nhà nước chủ nô	
B	Nhà nước phong kiến	
C	Nhà nước tư sản	
D	Nhà nước xã hội chủ nghĩa	1
		
		
12	C. Mác đã kế thừa “hạt nhân hợp lý” trong triết học của ông để xây dựng phép biện chứng duy vật. Ông là ai?	
A	Phơ bách	
B	Aristol	
C	Hêghn	1
D	Pythagor	
		
13	Triết học Mác ra đời một phần là kết quả kế thừa trực tiếp:	
A	Thế giới quan duy vật của Hê ghn và phép biện chứng của Phơ bách	
B	Thế giới quan duy vật của Phơ bách và phép biện chứng của Hêghn	1
C	Thế giới quan duy vật của và phép biện chứng của cả Hêghn và Phơbách	
D	Thế giới quan duy tâm và phép biện chứng duy vật	
		
		
14	Bộ phận nào không thuộc Chủ nghĩa Mác – Lênin?		
A	Triết học Mác – Lênin	
B	Kinh tế chính trị Mác – Lênin	
C	Lịch sử Đảng Cộng sản Việt Nam		1
D	Chủ nghĩa xã hội khoa học	
		
		
15	Sự phát minh và ứng dụng rộng rãi các thành tựu khoa học(cả khoa học lý luận và khoa học tự nhiên) cuối thế kỷ XIX ở Châu Âu đã tác động như thế nào đến chủ nghĩa Mác?	
A	Ảnh hưởng sâu sắc	
B	Củng cố về hiện thực khách quan	
C	Củng cố về lý luận và cơ sở khoa học	1
D	Tạo ra cơ sở pháp lý và tính khoa học	
		
		
16	Tác phẩm nào đánh dấu sự ra đời của Chủ nghĩa Mác – Lênin?	
A	Hệ tư tưởng Đức	
B	Tình cảnh giai cấp lao động ở Anh	
C	Tuyên ngôn Đảng cộng sản	1
D	Những nguyên lý của Chủ nghĩa cộng sản	
		
		
17	V.I. Lênin bổ sung và phát triển Chủ nghĩa Mác trong điều kiện nào?		
A	Chủ nghĩa tư bản thế giới chưa ra đời	
B	Chủ nghĩa tư bản tự do cạnh tranh	
C	Chủ nghĩa tư bản độc quyền	1
D	Chủ nghĩa tư bản đã diệt vong	
		
		
18	Dựa trên Phát minh nào trong khoa học tự nhiên nữa đầu thế kỷ XIX vạch ra nguồn gốc tự nhiên của con người, chống lại quan điểm tôn giáo?	
A	Định luật bảo toàn và chuyển hoá năng lượng	
B	Lý thuyết tế bào	
C	Lý thuyết tiến hoá	1
D	Thuyết nguyên tử	
		
		
19	Sự xuất hiện của chủ nghĩa Mác – Lênin là một tất yếu lịch sử vì:	
A	Nó khác về chất so với hệ thống triết học trước đó	
B	Nó trở thành thế giới quan khoa học của giai cấp vô sản	
C	Nó trở thành thế giới quan và phương pháp luận chung cần thiết cho sự phát triển của các khoa học	
D	Nó không những là sự phản ánh thực tiễn xã hội, nhất là thực tiễn cách mạnh của giai cấp công nhân, mà còn là sự phát triển hợp lôgíc của lịch sử tư tưởng nhân loại	1
		
		
20	Quan điểm của Chủ nghĩa duy vật biện chứng về mặt thứ nhất của vấn đề cơ bản của triết học là gì? 	
